mgrs,Date,Incident Type,Incident Category,Target Category,target,force_type,date_time_occ,mgrs_X,mgrs_Y,City,Province
38SLB8457591160,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,12/25/2007 0:20,43.7594642,33.35346233,Falluja,Anbar
38SMB389872,25-Dec-07,Enemy Action,Direct Fire,NULL,NULL,,12/25/2007 2:15,44.34354457,33.3222065,Karkh,Baghdad
38SMB4644084160,25-Dec-07,Explosive Hazard,IED Hoax,NULL,NULL,CF,12/25/2007 2:20,44.42473025,33.29518894,Al Resafa,Baghdad
38SMB4110080700,25-Dec-07,Enemy Action,Direct Fire,Patrol,Coalition,CF,12/25/2007 3:41,44.3676031,33.26370304,Karkh,Baghdad
38SMB3514985973,25-Dec-07,Explosive Hazard,IED Explosion,Convoy,Coalition,CF,12/25/2007 4:40,44.30333457,33.3109204,Karkh,Baghdad
38SLF3290027700,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,12/25/2007 6:25,43.13708377,36.37991922,Al-Hamdaniya,Ninewa
38SLF3930026800,25-Dec-07,Enemy Action,Direct Fire,Patrol,Host Natio,ISF,12/25/2007 7:20,43.20858815,36.37290062,Al-Hamdaniya,Ninewa
38SMB2365986568,25-Dec-07,Explosive Hazard,IED Found/Cleared,Property,Enemy,ISF,12/25/2007 7:23,44.17986254,33.31553337,Abu Ghraib,Baghdad
38SMB405922,25-Dec-07,Explosive Hazard,IED Explosion,NULL,NULL,,12/25/2007 7:30,44.36040433,33.36739272,Adhamiya,Baghdad
38SMC6760034800,25-Dec-07,Explosive Hazard,IED Explosion,Property,Host Natio,ISF,12/25/2007 8:00,44.65016361,33.75277799,Al-Muqdadiya,Diyala
38SLF3810027300,25-Dec-07,Explosive Hazard,IED Explosion,Patrol,Host Natio,ISF,12/25/2007 8:15,43.19511294,36.37720476,Al-Hamdaniya,Ninewa
38SLF2770025300,25-Dec-07,Explosive Hazard,IED Explosion,Patrol,Host Natio,ISF,12/25/2007 8:20,43.07967217,36.3573765,Mosul,Ninewa
38SMB2342686835,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,None Selected,12/25/2007 8:32,44.177337,33.3179249,Abu Ghraib,Baghdad
38SLF3820027900,25-Dec-07,Explosive Hazard,IED Explosion,Patrol,Host Natio,ISF,12/25/2007 8:45,43.19610236,36.38262813,Al-Hamdaniya,Ninewa
38SMB420863,25-Dec-07,Enemy Action,Direct Fire,NULL,NULL,,12/25/2007 9:00,44.37690683,33.31426058,Karkh,Baghdad
38SLF2860025900,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,12/25/2007 9:00,43.08956568,36.36294349,Mosul,Ninewa
38SMC578482,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,12/25/2007 9:10,44.54371029,33.87328616,Al-Khalis,Diyala
38SKC8318135842,25-Dec-07,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,12/25/2007 9:35,42.65949416,33.74047943,Heet,Anbar
38SLD61726760,25-Dec-07,Explosive Hazard,IED Explosion,Other,Civilian,CF,12/25/2007 9:35,43.4857687,34.94147878,Baiji,Salah al-Din
38SMB390790,25-Dec-07,Explosive Hazard,IED Explosion,NULL,NULL,,12/25/2007 9:45,44.34517149,33.24825331,Karkh,Baghdad
38SMC079343,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,,12/25/2007 9:45,44.0056671,33.74475981,Balad,Salah al-Din
38SMB389872,25-Dec-07,Enemy Action,Direct Fire,NULL,NULL,,12/25/2007 10:00,44.34354457,33.3222065,Karkh,Baghdad
38SLF2780025400,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,12/25/2007 10:00,43.080764,36.35829544,Mosul,Ninewa
38SLF268252,25-Dec-07,Enemy Action,Direct Fire,Security,Host Natio,ISF,12/25/2007 10:00,43.06966882,36.35631387,Mosul,Ninewa
38SMA929940,25-Dec-07,Explosive Hazard,IED Explosion,NULL,NULL,,12/25/2007 10:10,44.92443322,32.48320605,Al-Mahawil,Babylon
38SLF3970024400,25-Dec-07,Enemy Action,Direct Fire,Security,Host Natio,ISF,12/25/2007 10:25,43.21353974,36.35134099,Al-Hamdaniya,Ninewa
38SLF3900019900,25-Dec-07,Enemy Action,Direct Fire,Security,Host Natio,ISF,12/25/2007 10:32,43.20667189,36.31067456,Al-Hamdaniya,Ninewa
38SMD875700,25-Dec-07,Enemy Action,Indirect Fire,NULL,NULL,,12/25/2007 11:00,44.86306206,34.97248207,Tooz,Salah al-Din
38SMC6405432880,25-Dec-07,Explosive Hazard,IED Explosion,Other,Civilian,CF,12/25/2007 11:13,44.61195468,33.7353469,Al-Muqdadiya,Diyala
38SMC903503,25-Dec-07,Explosive Hazard,IED Explosion,NULL,NULL,,12/25/2007 12:00,44.89509368,33.89302629,Al-Muqdadiya,Diyala
38SLF3840028000,25-Dec-07,Enemy Action,Direct Fire,Other,Host Natio,ISF,12/25/2007 12:00,43.19831036,36.38356286,Al-Hamdaniya,Ninewa
38SMB4340078400,25-Dec-07,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,12/25/2007 12:00,44.39244007,33.24308132,Karkh,Baghdad
38SLF2610021900,25-Dec-07,Explosive Hazard,IED Explosion,Patrol,Host Natio,ISF,12/25/2007 12:00,43.06260814,36.32645375,Mosul,Ninewa
38SMC3766023349,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,12/25/2007 12:05,44.32770861,33.64816514,Tarmia,Baghdad
38SLF248346,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,,12/25/2007 12:05,43.04526964,36.44064657,Tilkaif,Ninewa
38SLF3460024800,25-Dec-07,Explosive Hazard,IED Found/Cleared,NULL,NULL,ISF,12/25/2007 12:05,43.15664403,36.35408218,Al-Hamdaniya,Ninewa
38SMB3426583336,25-Dec-07,Explosive Hazard,IED Found/Cleared,Property,Enemy,CF,12/25/2007 12:12,44.2940304,33.28708301,Karkh,Baghdad
38SMB4600070300,25-Dec-07,Explosive Hazard,IED Explosion,Other,Host Natio,CLC,12/25/2007 12:30,44.42082925,33.17015563,Mahmoudiya,Baghdad
38SLF2712622087,25-Dec-07,Enemy Action,Direct Fire,OP,Coalition,CF,12/25/2007 12:43,43.07399132,36.32832338,Mosul,Ninewa
